Date-Time,Date ∇,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
2011-07-01 18:00:00,01/07/2011,18Z,26.5,91%,1001.8 Hpa,180º (S ),5.6,7/8,4/8 SC,AC,-,49.2(24h),-,-,Cloudy
2011-07-02 00:00:00,02/07/2011,00Z,25.8,95%,1000.4 Hpa,180º (S ),1.9,8/8,4/8 SC,AC,,45.6(24h),-,-,Overcast
2011-07-02 06:00:00,02/07/2011,06Z,27.0,88%,1002.1 Hpa,180º (S ),5.6,8/8,4/8 SC,AC,,16.0(15h),-,-,Overcast
2011-07-02 12:00:00,02/07/2011,12Z,26.4,86%,999.4 Hpa,180º (S ),5.6,7/8,4/8 SC,AC,-,0.4(18h),27.4,-,Cloudy
2011-07-02 18:00:00,02/07/2011,18Z,25.4,91%,1002.3 Hpa,calm.,,8/8,3/8 SC,AC,,16.8(24h),-,-,Overcast
2011-07-03 00:00:00,03/07/2011,00Z,25.6,96%,1000.7 Hpa,180º (S ),3.7,8/8,6/8 ST,AC,,0.4(2h),-,-,Overcast
2011-07-03 06:00:00,03/07/2011,06Z,28.7,80%,1002.6 Hpa,180º (S ),3.7,7/8,4/8 SC,AC,,0.8(24h),-,-,Cloudy
2011-07-03 12:00:00,03/07/2011,12Z,27.8,79%,1001.3 Hpa,180º (S ),5.6,6/8,3/8 SC,AC,-,0.4(24h),29.2,-,Cloudy
2011-07-03 18:00:00,03/07/2011,18Z,26.2,93%,1004.3 Hpa,calm.,,5/8,3/8 SC,AC,-,0.4(24h),-,-,Cloudy
2011-07-04 00:00:00,04/07/2011,00Z,25.0,94%,1003.7 Hpa,calm.,,8/8,4/8 SC,AC,,12.0(1h),-,-,Overcast
2011-07-04 06:00:00,04/07/2011,06Z,29.2,78%,1005.4 Hpa,180º (S ),3.7,7/8,4/8 SC,AC,-,11.8(24h),-,-,Cloudy
2011-07-04 18:00:00,04/07/2011,18Z,27.2,87%,1006.7 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,11.8(24h),-,-,Cloudy
2011-07-05 00:00:00,05/07/2011,00Z,25.4,86%,1006.1 Hpa,calm.,,3/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2011-07-05 06:00:00,05/07/2011,06Z,30.8,71%,1006.9 Hpa,180º (S ),3.7,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
2011-07-05 12:00:00,05/07/2011,12Z,30.5,72%,1003.8 Hpa,180º (S ),3.7,3/8,2/8 SC,AC,-,-,32.8,-,Scattered clouds
2011-07-05 18:00:00,05/07/2011,18Z,27.5,86%,1006.9 Hpa,180º (S ),1.9,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2011-07-06 00:00:00,06/07/2011,00Z,25.7,95%,1006.2 Hpa,calm.,,2/8,1/8 SC,AC,-,-,-,-,Few clouds
2011-07-06 06:00:00,06/07/2011,06Z,31.0,66%,1006.2 Hpa,180º (S ),7.4,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-06 12:00:00,06/07/2011,12Z,29.0,79%,1003.7 Hpa,180º (S ),11.1,3/8,3/8 SC,-,-,-,31.5,-,Scattered clouds
2011-07-06 18:00:00,06/07/2011,18Z,26.0,88%,1006.0 Hpa,230º (SW),3.7,2/8,2/8 SC,AC,-,6.0(24h),-,-,"Few clouds, rain"
2011-07-07 00:00:00,07/07/2011,00Z,25.7,95%,1006.3 Hpa,180º (S ),1.9,4/8,3/8 ST,AC,-,5.8(24h),-,-,Scattered clouds
2011-07-07 12:00:00,07/07/2011,12Z,28.8,84%,1005.8 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,0.1(2h),31.2,-,Cloudy
2011-07-07 18:00:00,07/07/2011,18Z,27.6,96%,1008.3 Hpa,calm.,,7/8,3/8 SC,AC,-,Tr(24h),-,-,"Cloudy, rain"
2011-07-08 00:00:00,08/07/2011,00Z,26.4,92%,1008.2 Hpa,calm.,,8/8,6/8 ST,AC,,0.1(24h),-,-,Overcast
2011-07-08 06:00:00,08/07/2011,06Z,31.4,68%,1008.3 Hpa,180º (S ),9.3,5/8,3/8 SC,AC,-,0.2(24h),-,-,Cloudy
2011-07-08 12:00:00,08/07/2011,12Z,31.0,74%,1005.3 Hpa,180º (S ),3.7,3/8,3/8 SC,AC,-,0.2(24h),32.4,-,Scattered clouds
2011-07-09 12:00:00,09/07/2011,12Z,31.0,74%,1002.1 Hpa,180º (S ),3.7,3/8,3/8 SC,AC,-,3.6(24h),32.6,-,Scattered clouds
2011-07-10 06:00:00,10/07/2011,06Z,32.7,67%,1002.8 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,3.0(24h),-,-,Cloudy
2011-07-11 00:00:00,11/07/2011,00Z,27.8,95%,1001.2 Hpa,130º (SE),1.9,3/8,3/8 SC,AC,-,-,-,-,"Scattered clouds, haze"
2011-07-11 06:00:00,11/07/2011,06Z,33.8,63%,1000.4 Hpa,180º (S ),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2011-07-11 12:00:00,11/07/2011,12Z,31.3,73%,996.8 Hpa,180º (S ),5.6,5/8,2/8 SC,AC,-,-,35.0,-,Cloudy
2011-07-12 12:00:00,12/07/2011,12Z,31.6,72%,998.5 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,26.6(24h),32.8,-,Cloudy
2011-07-13 00:00:00,13/07/2011,00Z,27.6,96%,1000.5 Hpa,calm.,,8/8,2/8 SC,AC,,Tr(1h),-,-,Overcast
2011-07-13 06:00:00,13/07/2011,06Z,32.2,65%,1001.1 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-13 12:00:00,13/07/2011,12Z,30.8,71%,998.9 Hpa,180º (S ),5.6,4/8,4/8 SC,-,-,-,33.5,-,Scattered clouds
2011-07-13 18:00:00,13/07/2011,18Z,28.8,84%,1001.8 Hpa,calm.,,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-14 06:00:00,14/07/2011,06Z,30.8,75%,1001.2 Hpa,180º (S ),3.7,7/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-15 06:00:00,15/07/2011,06Z,27.8,95%,1002.2 Hpa,180º (S ),3.7,8/8,7/8 ST,AC,,4.0(24h),-,-,"Overcast, rain"
2011-07-15 18:00:00,15/07/2011,18Z,27.4,86%,1002.1 Hpa,180º (S ),1.9,6/8,4/8 SC,AC,-,5.8(24h),-,-,Cloudy
2011-07-16 06:00:00,16/07/2011,06Z,27.6,91%,1002.5 Hpa,180º (S ),9.3,8/8,4/8 SC,AC,,13.0(1h),-,-,Overcast
2011-07-16 12:00:00,16/07/2011,12Z,29.2,78%,998.6 Hpa,calm.,,7/8,3/8 SC,AC,-,12.8(24h),30.0,-,Cloudy
2011-07-16 18:00:00,16/07/2011,18Z,27.0,94%,1001.2 Hpa,calm.,,5/8,3/8 SC,AC,-,12.8(24h),-,-,Cloudy
2011-07-17 00:00:00,17/07/2011,00Z,25.8,95%,1000.2 Hpa,calm.,,7/8,4/8 SC,AC,-,12.8(24h),-,-,Cloudy
2011-07-17 12:00:00,17/07/2011,12Z,28.8,84%,998.1 Hpa,180º (S ),7.4,7/8,4/8 SC,AC,-,-,32.5,-,Cloudy
2011-07-18 06:00:00,18/07/2011,06Z,27.2,93%,1000.0 Hpa,180º (S ),1.9,8/8,5/8 SC,AC,,4.0(18h),-,-,"Overcast, rain"
2011-07-19 00:00:00,19/07/2011,00Z,26.2,93%,998.7 Hpa,calm.,,8/8,4/8 SC,AC,,4.4(24h),-,-,Overcast
2011-07-19 06:00:00,19/07/2011,06Z,27.3,92%,999.0 Hpa,180º (S ),1.9,7/8,4/8 SC,AC,-,14.0(18h),-,-,"Cloudy, rain"
2011-07-19 12:00:00,19/07/2011,12Z,92.9,4%,996.4 Hpa,180º (S ),1.9,5/8,3/8 SC,AC,-,14.4(24h),31.0,-,Cloudy
2011-07-19 18:00:00,19/07/2011,18Z,27.2,87%,998.1 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,14.4(24h),-,-,Cloudy
2011-07-20 00:00:00,20/07/2011,00Z,26.2,93%,996.5 Hpa,180º (S ),3.7,7/8,5/8 SC,AC,-,14.4(24h),-,-,Cloudy
2011-07-20 06:00:00,20/07/2011,06Z,26.1,93%,996.6 Hpa,180º (S ),9.3,8/8,7/8 ST,AC,,6.0(3h),-,-,"Overcast, rain"
2011-07-20 12:00:00,20/07/2011,12Z,26.9,94%,994.4 Hpa,180º (S ),3.7,8/8,6/8 ST,AC,,2.0(18h),30.1,-,"Overcast, rain"
2011-07-21 00:00:00,21/07/2011,00Z,25.6,90%,996.1 Hpa,180º (S ),3.7,4/8,3/8 SC,AC,-,0.4(1h),-,-,Scattered clouds
2011-07-21 06:00:00,21/07/2011,06Z,27.6,91%,996.6 Hpa,130º (SE),9.3,8/8,4/8 SC,AC,,8.0(15h),-,-,Overcast
2011-07-21 12:00:00,21/07/2011,12Z,25.9,94%,995.6 Hpa,180º (S ),5.6,8/8,7/8 ST,AC,,12.0(9h),28.9,-,Overcast
2011-07-21 18:00:00,21/07/2011,18Z,26.0,94%,999.0 Hpa,180º (S ),5.6,6/8,4/8 SC,AC,-,20.2(24h),-,-,Cloudy
2011-07-22 00:00:00,22/07/2011,00Z,25.6,96%,998.8 Hpa,130º (SE),3.7,8/8,4/8 SC,AC,,15.0(2h),-,-,Overcast
2011-07-22 06:00:00,22/07/2011,06Z,27.4,86%,1000.5 Hpa,130º (SE),5.6,8/8,5/8 SC,AC,,1.0(18h),-,-,Overcast
2011-07-22 12:00:00,22/07/2011,12Z,26.2,87%,999.7 Hpa,180º (S ),3.7,6/8,3/8 SC,AC,-,2.0(1h),30.5,-,Cloudy
2011-07-22 18:00:00,22/07/2011,18Z,25.8,89%,1002.7 Hpa,160º (S ),3.7,8/8,3/8 SC,AC,,18.4(24h),-,-,Overcast
2011-07-23 00:00:00,23/07/2011,00Z,24.6,96%,1002.2 Hpa,calm.,,8/8,6/8 ST,AC,,0.4(24h),-,-,"Overcast, rain"
2011-07-23 06:00:00,23/07/2011,06Z,31.6,72%,1002.2 Hpa,130º (SE),3.7,5/8,4/8 SC,AC,-,2.8(24h),-,-,Cloudy
2011-07-23 12:00:00,23/07/2011,12Z,29.4,77%,1000.4 Hpa,180º (S ),5.6,5/8,3/8 SC,AC,-,436.2(24h),32.2,-,Cloudy
2011-07-23 18:00:00,23/07/2011,18Z,26.4,92%,1003.2 Hpa,180º (S ),3.7,2/8,2/8 SC,-,-,0.4(24h),-,-,Few clouds
2011-07-24 00:00:00,24/07/2011,00Z,25.8,95%,1003.8 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
2011-07-24 06:00:00,24/07/2011,06Z,29.5,81%,1004.2 Hpa,180º (S ),1.9,7/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-24 12:00:00,24/07/2011,12Z,32.0,62%,1001.6 Hpa,calm.,,3/8,1/8 SC,AC,-,-,32.8,-,Scattered clouds
2011-07-24 18:00:00,24/07/2011,18Z,28.4,86%,1004.7 Hpa,calm.,,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2011-07-25 00:00:00,25/07/2011,00Z,27.4,92%,1005.1 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-25 06:00:00,25/07/2011,06Z,32.6,68%,1006.8 Hpa,calm.,,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
2011-07-25 12:00:00,25/07/2011,12Z,29.8,80%,1004.5 Hpa,230º (SW),3.7,7/8,4/8 SC,AC,-,-,34.6,-,Cloudy
2011-07-25 18:00:00,25/07/2011,18Z,28.0,88%,1007.2 Hpa,090º (E ),3.7,8/8,4/8 SC,AC,,-,-,-,Overcast
2011-07-26 00:00:00,26/07/2011,00Z,27.0,94%,1007.0 Hpa,090º (E ),1.9,8/8,3/8 SC,AC,,-,-,-,Overcast
2011-07-26 06:00:00,26/07/2011,06Z,30.1,83%,1008.2 Hpa,130º (SE),3.7,8/8,3/8 SC,AC,,-,-,-,Overcast
2011-07-26 12:00:00,26/07/2011,12Z,31.0,70%,1004.2 Hpa,180º (S ),3.7,6/8,2/8 SC,AC,-,-,33.2,-,Cloudy
2011-07-26 18:00:00,26/07/2011,18Z,28.5,91%,1006.7 Hpa,180º (S ),1.9,3/8,1/8 SC,AC,-,-,-,-,Scattered clouds
2011-07-27 00:00:00,27/07/2011,00Z,27.1,93%,1005.9 Hpa,180º (S ),1.9,2/8,1/8 SC,AC,-,-,-,-,Few clouds
2011-07-27 06:00:00,27/07/2011,06Z,28.0,88%,1007.2 Hpa,090º (E ),3.7,8/8,4/8 SC,AC,,-,-,-,Overcast
2011-07-27 12:00:00,27/07/2011,12Z,31.2,74%,1002.1 Hpa,180º (S ),5.6,5/8,4/8 SC,AC,-,5.0(2h),33.4,-,Cloudy
2011-07-27 18:00:00,27/07/2011,18Z,28.2,87%,1005.0 Hpa,calm.,,3/8,3/8 SC,-,-,5.0(24h),-,-,Scattered clouds
2011-07-28 00:00:00,28/07/2011,00Z,27.0,94%,1003.5 Hpa,calm.,,6/8,5/8 ST,AC,-,5.0(24h),-,-,Cloudy
2011-07-28 12:00:00,28/07/2011,12Z,31.0,70%,1001.2 Hpa,180º (S ),5.6,4/8,2/8 SC,AC,-,-,34.0,-,Scattered clouds
2011-07-28 18:00:00,28/07/2011,18Z,28.8,90%,1003.8 Hpa,180º (S ),1.9,7/8,4/8 SC,AC,-,-,-,-,Cloudy
2011-07-29 00:00:00,29/07/2011,00Z,27.6,96%,1003.3 Hpa,calm.,,6/8,4/8 SC,AC,-,-,-,-,Cloudy
2011-07-29 06:00:00,29/07/2011,06Z,32.4,65%,1003.8 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-29 18:00:00,29/07/2011,18Z,28.5,86%,1003.4 Hpa,180º (S ),1.9,2/8,1/8 SC,AC,-,-,-,-,Few clouds
2011-07-30 00:00:00,30/07/2011,00Z,27.8,95%,1002.0 Hpa,calm.,,7/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-30 06:00:00,30/07/2011,06Z,32.2,69%,1002.0 Hpa,180º (S ),1.9,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-30 12:00:00,30/07/2011,12Z,32.0,70%,998.6 Hpa,180º (S ),1.9,2/8,2/8 SC,AC,-,-,34.3,-,Few clouds
2011-07-31 00:00:00,31/07/2011,00Z,27.3,92%,1000.0 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-07-31 06:00:00,31/07/2011,06Z,34.0,63%,999.7 Hpa,180º (S ),3.7,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2011-08-01 00:00:00,01/08/2011,00Z,28.5,97%,997.9 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
2011-08-01 06:00:00,01/08/2011,06Z,33.5,68%,998.0 Hpa,310º (NW),1.9,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-08-01 12:00:00,01/08/2011,12Z,33.4,65%,995.4 Hpa,calm.,,6/8,3/8 SC,AC,-,-,35.2,-,Cloudy
2011-08-01 18:00:00,01/08/2011,18Z,30.3,92%,998.5 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2011-08-02 06:00:00,02/08/2011,06Z,28.0,88%,999.0 Hpa,calm.,,8/8,5/8 CB,AC,,0.4(24h),-,-,"Overcast, thunderstorm no precipitation"
2011-08-02 12:00:00,02/08/2011,12Z,30.3,82%,997.2 Hpa,180º (S ),3.7,8/8,6/8 ST,AC,,0.4(24h),30.8,-,Overcast
2011-08-02 18:00:00,02/08/2011,18Z,28.0,88%,1001.1 Hpa,180º (S ),3.7,6/8,3/8 SC,AC,-,0.4(24h),-,-,Cloudy
2011-08-03 00:00:00,03/08/2011,00Z,26.6,96%,1000.3 Hpa,calm.,,5/8,3/8 SC,AC,-,0.4(24h),-,-,Cloudy
2011-08-03 06:00:00,03/08/2011,06Z,32.4,65%,1000.4 Hpa,calm.,,5/8,5/8 SC,-,-,-,-,-,Cloudy
2011-08-03 12:00:00,03/08/2011,12Z,29.3,82%,998.9 Hpa,180º (S ),3.7,7/8,4/8 SC,AC,,1.0(1h),33.4,-,Cloudy
2011-08-03 18:00:00,03/08/2011,18Z,27.3,87%,1001.1 Hpa,180º (S ),1.9,2/8,2/8 SC,AC,-,1.2(24h),-,-,Few clouds
2011-08-04 00:00:00,04/08/2011,00Z,26.1,93%,999.5 Hpa,090º (E ),1.9,8/8,4/8 SC,AC,,9.0(12h),-,-,"Overcast, rain"
2011-08-04 06:00:00,04/08/2011,06Z,29.0,83%,1000.5 Hpa,180º (S ),7.4,8/8,6/8 ST,AC,,2.0(2h),-,-,Overcast
2011-08-04 12:00:00,04/08/2011,12Z,29.0,83%,998.8 Hpa,180º (S ),3.7,7/8,5/8 SC,AC,-,10.8(24h),31.0,-,Cloudy
2011-08-05 00:00:00,05/08/2011,00Z,25.8,95%,999.7 Hpa,180º (S ),1.9,8/8,4/8 SC,AC,,11.0(18h),-,-,"Overcast, rain"
2011-08-05 06:00:00,05/08/2011,06Z,25.8,100%,1000.6 Hpa,180º (S ),5.6,8/8,4/8 SC,AC,,23.0(3h),-,-,"Overcast, rain"
2011-08-05 12:00:00,05/08/2011,12Z,28.0,88%,998.3 Hpa,calm.,,8/8,6/8 ST,AC,,3.0(9h),28.2,-,Overcast
2011-08-06 00:00:00,06/08/2011,00Z,26.0,94%,999.5 Hpa,calm.,,8/8,6/8 ST,AC,,66.0(18h),-,-,Overcast
2011-08-06 06:00:00,06/08/2011,06Z,30.8,75%,998.9 Hpa,180º (S ),5.6,6/8,5/8 SC,AC,-,69.8(24h),-,-,Cloudy
2011-08-06 18:00:00,06/08/2011,18Z,26.9,89%,999.2 Hpa,180º (S ),3.7,7/8,4/8 SC,AC,-,66.4(24h),-,-,Cloudy
2011-08-07 00:00:00,07/08/2011,00Z,25.5,97%,997.7 Hpa,180º (S ),1.9,8/8,5/8 SC,AC,,7.0(1h),-,-,Overcast
2011-08-07 06:00:00,07/08/2011,06Z,26.6,90%,998.5 Hpa,130º (SE),3.7,8/8,5/8 ST,AC,,10.0(3h),-,-,"Overcast, rain"
2011-08-07 18:00:00,07/08/2011,18Z,25.8,100%,1001.3 Hpa,180º (S ),3.7,8/8,4/8 SC,AC,,14.0(15h),-,-,"Overcast, rain"
2011-08-08 00:00:00,08/08/2011,00Z,25.2,98%,1000.5 Hpa,130º (SE),3.7,8/8,4/8 SC,AC,,10.0(9h),-,-,"Overcast, rain"
2011-08-08 06:00:00,08/08/2011,06Z,27.8,89%,1001.1 Hpa,180º (S ),5.6,8/8,5/8 SC,AC,,1.0(12h),-,-,"Overcast, rain"
2011-08-08 12:00:00,08/08/2011,12Z,26.3,92%,1000.5 Hpa,180º (S ),3.7,8/8,6/8 ST,AC,,6.0(15h),27.8,-,"Overcast, rain"
2011-08-08 18:00:00,08/08/2011,18Z,25.5,97%,1003.1 Hpa,180º (S ),3.7,8/8,5/8 SC,AC,,3.0(18h),-,-,Overcast
2011-08-09 00:00:00,09/08/2011,00Z,24.9,94%,1001.9 Hpa,180º (S ),5.6,8/8,6/8 ST,AC,,2.0(24h),-,-,"Overcast, rain"
2011-08-09 06:00:00,09/08/2011,06Z,26.4,92%,1003.1 Hpa,calm.,,8/8,7/8 ST,AC,,2.0(18h),-,-,"Overcast, rain"
2011-08-09 12:00:00,09/08/2011,12Z,26.0,94%,1002.5 Hpa,130º (SE),1.9,8/8,6/8 ST,AC,,17.0(18h),27.3,-,"Overcast, rain"
2011-08-10 00:00:00,10/08/2011,00Z,25.0,94%,1002.3 Hpa,130º (SE),1.9,8/8,5/8 SC,AC,,4.0(18h),-,-,"Overcast, rain"
2011-08-10 06:00:00,10/08/2011,06Z,25.6,100%,1003.7 Hpa,180º (S ),5.6,8/8,5/8 SC,AC,,49.0(15h),-,-,"Overcast, rain"
2011-08-10 12:00:00,10/08/2011,12Z,27.1,88%,1001.5 Hpa,calm.,,8/8,3/8 SC,AC,,2.0(2h),27.4,-,Overcast
2011-08-10 18:00:00,10/08/2011,18Z,25.8,95%,1003.7 Hpa,calm.,,7/8,4/8 SC,AC,-,54.8(24h),-,-,Cloudy
2011-08-11 00:00:00,11/08/2011,00Z,25.6,96%,1001.7 Hpa,calm.,,5/8,3/8 SC,AC,-,50.6(24h),-,-,Cloudy
2011-08-11 06:00:00,11/08/2011,06Z,26.3,92%,1002.5 Hpa,calm.,,8/8,5/8 SC,AC,,4.0(24h),-,-,"Overcast, rain"
2011-08-11 12:00:00,11/08/2011,12Z,,0%,998.7 Hpa,020º (N),166.8,1/8,3/8 SC,AC,-,1.0(2h),30.2,-,Few clouds
2011-08-11 18:00:00,11/08/2011,18Z,26.6,90%,1001.1 Hpa,130º (SE),3.7,8/8,6/8 ST,AC,,5.2(24h),-,-,Overcast
2011-08-12 00:00:00,12/08/2011,00Z,25.4,91%,999.5 Hpa,calm.,,4/8,1/8 SC,AC,-,0.4(2h),-,-,Scattered clouds
2011-08-12 06:00:00,12/08/2011,06Z,31.5,68%,1000.2 Hpa,130º (SE),3.7,5/8,3/8 SC,AC,-,1.6(24h),-,-,Cloudy
2011-08-12 12:00:00,12/08/2011,12Z,29.4,72%,998.1 Hpa,180º (S ),9.3,4/8,3/8 SC,AC,-,0.4(24h),32.0,-,Scattered clouds
2011-08-12 18:00:00,12/08/2011,18Z,27.0,88%,1001.4 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,0.4(24h),-,-,Cloudy
2011-08-13 00:00:00,13/08/2011,00Z,25.6,90%,1000.6 Hpa,230º (SW),3.7,7/8,4/8 SC,AC,-,-,-,-,Cloudy
2011-08-13 06:00:00,13/08/2011,06Z,26.0,94%,1004.3 Hpa,130º (SE),3.7,8/8,7/8 ST,AC,,5.0(18h),-,-,"Overcast, rain"
